closetim;starttim;difftime;email;s_2;s_3;s_6;s_1;s_8;s_4;s_262;s_263;s_259;s_260;s_261;s_257;s_15;s_5;s_21_1;s_21_2;s_21_3;s_21_4;s_21_5;s_21_6;s_21_7;s_21_8;s_21_9;s_21_10;s_21_11;s_21_12;s_21_13;s_21_14;s_21_15;s_7;s_256;s_235;s_236;s_237;s_227;s_228;s_229;s_230;s_24_1;s_24_2;s_24_3;s_24_4;s_24_5;s_24_6;s_24_7;s_24_8;s_24_9;s_24_10;s_24_11;s_24_12;s_24_13;s_24_14;s_24_15;s_24_16;s_24_17;s_159;s_160;s_161;s_164;s_165;s_166;s_167;s_163;s_179;s_170;s_171;s_172;s_173;s_180;s_181;s_182;s_183;s_184;s_185;s_186;s_187;s_188;s_189;s_190;s_191;s_192;s_193;s_194;s_195;s_196;s_197;s_198;s_199;s_200;s_201;s_202;s_203;s_204;s_205;s_206;s_207;s_175;s_135;s_178;s_136;s_71;s_137;s_177;s_240;s_85;s_86;s_97;s_70;s_72;s_73;stato_1;stato_2;stato_3;stato_4;stato_5
2020-05-12 17:53:00;2020-05-12 17:46:01;418,66;"";2;3;8;"";8;"";4;4;4;4;4;1;1;"";1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;"";4;3;4;4;;;;;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;4;3;3;3;4;5;4;4;2;4;2;2;5;3;4;4;4;2;3;4;5;4;4;3;3;3;4;5;2;4;4;4;3;5;4;4;4;4;3;3;5;2;"<p>The design and interface</p>";1;"<p>Too simple</p>";"<p>the interface</p>";"";"<p>yes</p>";"<p>Quite helpful</p>";5;5;5;"<p>a little</p>";"";"";0;0;0;1;0
;;;"";;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;2020-05-12 17:35:15;;"";1;3;4;"";10;"homemaker and mturk worker";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
2020-05-12 21:14:29;2020-05-12 21:04:14;614,69;"";2;2;6;"";11;"";1;5;5;5;5;1;2;"";0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;"";4;4;3;4;;;;;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;0;0;4;3;2;2;2;2;3;2;3;3;3;3;2;4;3;4;3;4;4;2;4;1;3;4;3;3;4;4;5;1;4;2;4;2;4;1;4;1;4;2;4;3;"<p>I like interface 3 the most because it balances providing extra information for why the system recommended the songs while also presenting this information is a nice appealing and easy to understand way. The visuals of the bar graph are superior to the statistics in my opinion which are dry and hard to look at.&nbsp;</p>";1;"<p>I dislike this interface the most because it doesn&#39;t&nbsp;provide advanced information for why songs were recommended.&nbsp;</p>";"<p>In general I like how they increase my understanding of why the system recommends the things it does and I like that the designs are mostly easy on the eyes however I think representing the information with percentages is too much and can cause some people to be turned off by it. I think it&#39;s too complex.&nbsp;</p>";"";"<p>I think the mood based recommendations are helpful for trying to figure out which music can be appropriate in certain contexts. Of course feelings are subjective so it&#39;s not going to be right all the time but in general it is useful to have in my opinion.&nbsp;</p>";"<p>I think using moods is a general and good way for classifying certain groupings of music however it cannot be used with 100% accuracy as we all perceive moods in different ways as individuals. It is good to get a general idea for the vibes of songs or playlists.&nbsp;</p>";5;5;4;"<p>My opinion hasn&#39;t changed really but I see now how there are so many different ways these services can include additional information that it makes me eager to see these things implemented as soon as possible.&nbsp;</p>";"";"";0;0;0;1;0
;;;"";;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
2020-05-12 18:02:27;2020-05-12 17:52:03;624;"";2;2;7;"";13;"";3;5;4;2;3;3;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;4;5;2;3;1;1;3;3;2;2;4;1;4;3;5;2;4;2;5;2;1;3;4;2;4;3;5;3;5;1;1;4;2;2;5;4;3;1;3;2;"<p>Really good for this study and thanks to all</p>";3;"<p>none</p>";"<p>yeah yes</p>";"<p>no</p>";"<p>yeah</p>";"<p>literally ok</p>";4;5;4;"<p>none</p>";"<p>none</p>";"<p>none</p>";0;0;0;1;0
2020-05-12 17:43:40;2020-05-12 17:36:43;417,163;"";1;2;4;"";3;"";2;4;3;2;2;3;3;"";0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;2;3;2;4;2;4;4;4;4;2;4;1;4;1;4;1;4;2;4;1;4;3;4;2;4;3;4;2;3;3;3;3;4;2;2;2;3;2;"<p>It gave a lot of info in a way that&#39;s very easy to understand.</p>";3;"<p>It doesn&#39;t look as nice and is a little confusing.</p>";"<p>I like that they tell you exactly why songs are picked.</p><p>I don&#39;t like that some of the explanations don&#39;t really make sense</p>";"";"<p>Yes, it was interesting to see.</p>";"<p>I don&#39;t think I would use it because I don&#39;t really pick songs by mood, but I like the idea and I think others would use it.</p>";4;2;2;"<p>No</p>";"";"";0;0;0;1;0
2020-05-12 18:26:29;2020-05-12 18:17:06;563,403;"";2;2;6;"";4;"";3;4;2;3;3;2;6;"";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"";;;;;4;4;3;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;3;2;2;3;3;3;3;2;3;3;4;3;3;3;3;3;3;3;2;3;3;4;4;2;4;3;2;4;2;3;3;2;3;3;2;3;3;4;2;3;2;"<p>I feel it is appropriate and reliable.</p>";2;"<p>I like it because it is more attractive.</p>";"<p>Good</p>";"<p>Nothing</p>";"<p>Not interested</p>";"<p>Not interested</p>";5;5;5;"<p>No</p>";"";"<p>Good</p>";0;0;0;1;0
2020-05-12 17:51:26;2020-05-12 17:40:03;682,493;"";2;3;4;"";8;"";1;5;5;5;4;1;1;"";0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;"";4;3;4;4;;;;;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;4;2;3;2;1;1;5;2;3;3;3;3;2;4;3;4;2;4;4;2;4;4;2;4;2;3;4;4;3;4;3;4;4;2;4;4;3;4;3;2;4;3;"<p>I like the visual representation of each different quality, it&#39;s quicker to interpret than a number percentage.</p>";1;"<p>This design provides no actionable information for me to digest on its recommendation.</p>";"<p>I like the designs that breakdown the qualities of each song and how they relate to other recommended songs. I dislike the design that offers no explanation in its recommendations because I can have no sense of trust or accountability in this version.</p>";"";"<p>They were a little helpful because I can relate how one song makes me feel to another one.</p>";"<p>I like the idea and think it could be useful for discovering new music.</p>";5;3;3;"<p>My opinion has not changed</p>";"";"";0;0;0;1;0
;2020-05-12 17:50:33;;"";2;2;6;"";4;"";4;1;3;1;1;3;6;"";1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;1;2;4;1;3;3;3;4;3;3;1;3;4;3;4;2;3;1;1;5;4;4;4;3;2;3;2;5;5;5;4;3;1;2;2;3;5;5;3;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
;;;"";;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
2020-05-12 17:53:11;2020-05-12 17:50:11;179,17;"";2;2;4;"";4;"";4;2;4;2;3;3;1;"";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;3;2;3;3;3;3;3;3;4;3;3;4;5;3;3;2;3;3;4;4;4;3;1;3;3;2;2;3;5;4;4;3;3;3;4;2;3;2;3;3;"<p>colors</p>";1;"<p>&nbsp;i think it&#39;s kinda ugly</p>";"<p>the size and colors</p>";"";"<p>unsure</p>";"<p>unsure</p>";5;5;5;"<p>no</p>";"";"";0;0;0;1;0
2020-05-12 19:29:56;2020-05-12 19:14:19;936,706;"";2;4;7;"";4;"";3;5;5;4;4;1;6;"";0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;"";4;4;5;4;;;;;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;4;4;3;5;4;4;2;5;3;4;1;4;5;5;4;2;5;4;4;1;4;4;5;1;4;3;5;5;4;1;4;4;4;4;4;3;5;1;4;2;5;1;"<p>It is easy to understand and not too complex.</p>";2;"<p>The information is too detailed.</p>";"<p>The mood data provided.</p>";"";"<p>Yes, I&#39;m gonna be impressed after listening&nbsp;to the music.</p>";"<p>I think mood allow you to choose the best song/choice of song&nbsp;for yourself at that moment you wanted to listen to music.</p>";5;5;4;"<p>No</p>";"";"";0;0;0;1;0
2020-05-12 18:39:20;2020-05-12 18:35:28;232,167;"";2;2;6;"";4;"";5;4;4;3;4;1;2;"";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;"";4;3;4;2;;;;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;5;4;2;5;1;5;5;3;4;1;3;3;1;4;4;2;3;1;3;2;3;1;2;3;3;1;4;5;1;3;3;2;1;2;4;5;3;5;4;3;3;"<p>I like the analysis</p>";1;"<p>Its too simple</p>";"<p>The analysisi shown</p>";"<p>no</p>";"<p>none</p>";"<p>Its great</p>";4;4;3;"<p>not really</p>";"";"";0;0;0;1;0
;2020-05-12 21:25:25;;"";2;2;7;"";13;"";4;4;3;4;4;2;6;"";0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;"";;;;;4;4;4;4;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;4;3;2;3;4;3;2;3;2;3;2;3;3;4;3;3;3;4;3;2;3;2;3;2;3;3;3;2;3;3;2;3;4;3;3;3;4;3;3;2;4;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
2020-05-12 18:08:23;2020-05-12 17:39:43;1720,394;"";1;3;6;"";6;"";4;4;4;5;2;1;1;"";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;"";4;5;5;4;;;;;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;4;5;3;3;4;3;3;4;2;5;4;2;5;1;1;4;3;5;2;2;5;1;3;4;1;3;2;1;3;5;4;5;4;4;5;4;5;4;3;3;4;2;"<p>The interface looks easier to understand and to maneuver, so that is why I chose interface 2.</p>";3;"<p>The interface is very dark and harder to see.</p>";"<p>I like the most that it is easy to maneuver and what I like the least is that the color is so dark it makes it harder to see and interact with.</p>";"";"<p>I don&#39;t particularly like te the mood base it&#39;s too dark.</p>";"<p>I don&#39;t like it too much, it&#39;s too much going on.</p>";4;3;4;"<p>It has changed a little.</p>";"";"";0;0;0;1;0
2020-05-12 18:13:43;2020-05-12 17:56:25;1038,443;"";1;3;4;"";3;"";2;4;4;5;4;1;1;"";0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;"contemporary Christian";4;4;4;4;;;;;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;5;4;1;2;1;2;4;2;1;4;2;4;3;5;5;1;4;1;4;1;4;1;4;2;4;3;4;5;5;1;5;1;4;2;5;1;5;1;5;2;5;3;"<p>I like the colors and the way the bars make it easy to distinguish betwween the two with a quick glance, it takes no effort at all to understand what it means and why the song was recommended. It tries to match not just the artist but also the mood and tempo that you have going.&nbsp;</p>";1;"<p>it doesn&#39;t give any reasoning for why the songs were recommended other than it was based on the list you are listening to. It makes sense if it&#39;s the same artist sometimes, but it&#39;s not always suitable for the same mood of the music. That&#39;s important.&nbsp;</p>";"<p>I like the detail of interface 3, and I like that it is a bar graph type interface instead of numbers. It&#39;s simple, but easy to read and understand with a glance. effortless. Interface 1 is really vague and doesn&#39;t offer much of an explanation at all. Just because I loke one song by an artist doesn&#39;t mean I will like others.&nbsp;</p>";"";"<p>yes! my playlist often emphasizes a mood I am in or wish to get in, and so that is extremely useful and I like it and would use something like that regularly to try out new music.&nbsp;</p>";"<p>I think it&#39;s a good idea and it is definitely something that I would use if it was implemented in my streaming app.&nbsp;</p>";5;4;3;"<p>no, they are important. I love music and love being introduced to new music that something thinks I would enjoy.&nbsp;</p>";"";"";0;0;0;1;0
;;;"";;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
2020-05-12 19:34:27;2020-05-12 19:24:25;602,817;"";1;2;7;"";10;"Agriculture and food";4;5;4;5;5;1;1;"";0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;"";4;4;4;4;;;;;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;4;5;1;1;4;4;4;4;1;4;2;4;4;4;5;5;5;5;5;1;5;5;5;1;5;3;5;4;5;4;5;4;4;1;4;1;1;2;4;2;4;2;"<p>It is attractive and more detailed. It is easy to understand</p>";1;"<p>somewhat boring and tiring</p>";"<p>I like detailed information and dislike boring interface like interface 1</p>";"<p>no other design</p>";"<p>They were very useful</p>";"<p>It is needed sao that people can easily decode what music to listen to at any particular time</p>";5;5;5;"<p>Music recommendations is more important to me now</p>";"<p>None</p>";"";0;0;0;1;0
;;;"";;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
2020-05-12 18:48:39;2020-05-12 18:35:53;766,47;"";1;3;6;"";13;"";1;5;5;5;5;2;1;"";0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;"";;;;;1;2;5;3;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;2;1;1;2;2;3;5;1;1;1;5;1;1;3;5;1;1;1;3;5;1;1;1;5;1;3;1;3;5;1;1;1;3;5;1;1;1;5;1;2;1;3;"<p>Even though I do not like any of these, I think number 3 would be the most attractive and easily related to the vast majority of people. It is quicker to comprehend and easier to follow, and most people need that kind of quick and easy thing to look at rather than a bunch of percentages.</p>";1;"<p>It gives zero information about why it is being recommended to me.</p>";"<p>I like that they are easy to look at and comprehend, but I dislike that it really gives me information about why I might actually like this song. I would rather know if people who listen to song A also agree that song B that is being compared to it, is of the same similarity.&nbsp;</p>";"<p>I would like to have people be able to state what songs they themselves feel are similar to other songs.</p>";"<p>They were easy to understand, but honestly nothing at all that would make my decision to download or add a song any different. I do not find it helpful.&nbsp;</p>";"<p>I think as a non emotion based person, having something that is based on moods, is simply not something I would ever use.</p>";5;4;1;"<p>No, my opinion in no way has changed.</p>";"";"";0;0;0;1;0
2020-05-12 20:30:52;2020-05-12 20:12:07;1125,13;"";2;3;7;"";13;"";4;5;4;5;4;1;1;"";1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;"";4;5;4;5;;;;;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;5;4;3;4;5;4;3;4;3;4;2;4;4;3;4;3;4;4;4;3;4;4;3;3;4;4;4;3;4;3;4;3;4;3;4;3;4;2;4;3;4;3;"<p>attracive and well detailed</p>";2;"<p>simple and attractive</p>";"<p>simple and well explained</p>";"<p>none</p>";"<p>yes</p>";"<p>simpler to understand</p>";5;5;5;"<p>yes</p>";"<p>update and upgrade the music application</p>";"<p>interesting survey</p>";0;0;0;1;0
2020-05-12 19:13:14;2020-05-12 18:53:16;1198,297;"";1;3;7;"";6;"";2;4;3;3;2;2;3;"";0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;"";;;;;2;4;4;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3;2;2;3;2;2;4;2;4;2;4;2;2;3;4;2;4;2;4;2;4;2;3;4;2;3;3;3;4;2;4;2;4;2;4;2;4;3;4;2;3;3;"<p>It looks more modern and appealing.</p>";1;"<p>I can not get enough information from the interface.</p>";"<p>It gave me more options to choose the songs I will like. I dislike the content that the interface has.</p>";"";"<p>Not too much.</p>";"<p>I do not think it is very useful for me. It is an option to some people.</p>";4;3;3;"<p>No. I do not think it is very important to me.</p>";"";"";0;0;0;1;0
;;;"";;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
2020-05-12 18:11:24;2020-05-12 17:56:27;897,5;"";2;2;7;"";13;"";1;5;5;5;5;1;1;"";0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;"";4;5;4;2;;;;;0;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;4;4;2;3;1;4;2;4;1;4;2;4;4;4;4;1;4;2;4;1;4;4;2;2;3;3;3;4;4;1;4;1;4;1;4;1;4;2;4;2;4;3;"<p>I like the bar graph and how it explains the music and why its recommended. I feel like this process i highly customizable and easy to read. I like how its laid out on one screen.</p>";2;"<p>I am not a fan of pop up windows and like everything laid out on one screen.</p>";"<p>I like how it compares per Playlist and what setting a user can have. It will match to your liking or mood when you want.</p>";"<p>none</p>";"<p>I feel like it will set you in this mood but can be used for what you are currently feeling.</p>";"<p>I would def give it a try since music is basically based off moods.</p>";5;4;4;"<p>I think they are important helps the user understand their emotions or be in a mood they want.</p>";"<p>none</p>";"<p>none</p>";0;0;0;1;0
2020-05-12 19:20:55;2020-05-12 19:03:44;1030,813;"";2;2;7;"";1;"";4;4;5;5;5;1;2;"";0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;"";4;4;5;4;;;;;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;4;4;4;5;5;4;4;4;4;5;3;5;4;5;3;5;4;4;3;5;4;5;4;3;4;3;4;4;4;4;4;5;5;4;3;5;3;2;3;2;5;2;"<p>this design show highlighted so i like to choose this</p>";3;"<p>both design comparing good</p>";"<p>design 1 i recommend the least</p>";"";"<p>it is very helpful to relaxation.</p>";"<p>nice survey feel good to seen this</p>";4;4;4;"<p>no</p>";"<p>no</p>";"<p>good</p>";0;0;0;1;0
;2020-05-12 19:20:16;;"";1;2;6;"";11;"";4;4;4;3;4;1;6;"";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;"";4;4;3;3;;;;;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;3;3;3;4;4;4;3;3;4;3;3;3;3;3;3;3;4;4;3;4;4;3;4;3;3;3;4;3;4;3;4;3;3;3;4;3;3;4;3;2;3;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
2020-05-12 17:54:11;2020-05-12 17:49:49;262,45;"";2;2;7;"";8;"";5;4;5;4;5;1;2;"";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;"";5;5;4;4;;;;;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;4;4;4;4;5;5;5;5;5;4;4;5;5;4;4;5;2;1;5;5;2;1;2;1;4;3;2;4;4;5;5;4;4;5;4;5;4;2;5;3;3;3;"<p>no comments</p>";2;"<p>no comments</p>";"<p>no comments</p>";"<p>no comments</p>";"<p>no comments</p>";"<p>no comments</p>";4;5;4;"<p>no comments</p>";"<p>no comments</p>";"<p>no comments</p>";0;0;0;1;0
;;;"";;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;"";;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
2020-05-12 19:01:27;2020-05-12 18:41:25;1201,45;"";1;4;7;"";4;"";1;4;4;4;4;1;1;"";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;"";4;3;4;2;;;;;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;2;5;1;4;1;4;2;3;2;4;2;3;4;2;5;1;3;4;5;3;4;2;5;4;5;3;5;2;5;1;5;1;5;1;4;1;5;1;5;2;5;3;"<p>I love the bar graph with the colors and the why button is good.&nbsp; The middle one has too bright of a white box.&nbsp; it hurts my eyes</p>";1;"<p>It does not provide enough information.&nbsp; It does not have the why button.&nbsp; I&#39;m not sure about the background information about why those songs were chosen</p>";"<p>i like the bar graph the most, and nd the white screen the least</p>";"<p>I&#39;m not sure.&nbsp; maybe a link to other songs with this same mix.&nbsp; Maybe a &quot;bottom 40&quot; option.</p>";"<p>Yes, some music is really moody and I want something upbeat say for exercising.</p>";"<p>I like it.&nbsp; Again, mood is super important for your playlist while exercising.&nbsp; music has the ability to help you pump up your workout.</p>";5;4;4;"<p>I think I like the explanations and would read them more.&nbsp;&nbsp;</p>";"<p>i don&#39;t think so</p>";"";0;0;0;1;0
2020-05-12 19:26:10;2020-05-12 19:14:22;708,147;"";2;1;2;"";6;"";1;4;4;4;4;2;2;"";0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;"";;;;;4;2;4;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;5;1;4;1;4;2;2;2;3;2;4;4;1;5;1;4;4;4;1;4;1;2;4;4;3;4;1;4;1;4;2;4;1;2;1;4;2;4;2;4;3;"<p>Although it doesn&#39;t show the percentage numbers, the looks of it is sleek and doesn&#39;t have as much information to digest as Interface 2.&nbsp; It&#39;s clean, simple looking, and helps when looking for recommendations.</p>";1;"<p>It doesn&#39;t give any explanation as to why the recommendation given and only shows songs without any information about them.</p>";"<p>I like the ability to see why a song is being recommended based on different percentages pertaining to the music.&nbsp; I dislike being given recommendations that have no information as to why they&#39;re being recommended.</p>";"";"<p>They were helpful in seeing just how the music is made up of different emotions and moods.</p>";"<p>I like the idea and would definitely partake in the use of such.</p>";5;3;1;"<p>No, because I know just exactly what I&#39;m looking for and usually get recommended songs I don&#39;t care for.</p>";"";"";0;0;0;1;0
