difftime;s_2;s_3;s_6;s_1;s_8;s_4;s_262;s_263;s_259;s_260;s_261;s_257;s_15;s_5;s_21_1;s_21_2;s_21_3;s_21_4;s_21_5;s_21_6;s_21_7;s_21_8;s_21_9;s_21_10;s_21_11;s_21_12;s_21_13;s_21_14;s_21_15;s_7;s_256;s_235;s_236;s_237;s_227;s_228;s_229;s_230;s_24_1;s_24_2;s_24_3;s_24_4;s_24_5;s_24_6;s_24_7;s_24_8;s_24_9;s_24_10;s_24_11;s_24_12;s_24_13;s_24_14;s_24_15;s_24_16;s_24_17;s_159;s_160;s_161;s_164;s_165;s_166;s_167;s_163;s_179;s_170;s_171;s_172;s_173;s_180;s_181;s_182;s_183;s_184;s_185;s_186;s_187;s_188;s_189;s_190;s_191;s_192;s_193;s_194;s_195;s_196;s_197;s_198;s_199;s_200;s_201;s_202;s_203;s_204;s_205;s_206;s_207;s_175;s_135;s_178;s_136;s_71;s_137;s_177;s_240;s_85;s_86;s_97;s_70;s_72;s_73;stato_1;stato_2;stato_3;stato_4;stato_5
1354,917;2;2;6;"";8;"";2;4;4;4;4;1;1;"";0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;"";4;4;4;4;;;;;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;5;2;5;5;5;2;4;2;4;2;5;5;4;4;4;4;4;4;2;4;2;4;2;4;3;5;4;4;1;4;4;4;2;4;2;4;2;4;2;4;1;"<p>it has a simple design and concept</p>";2;"<p>the design is too complex.</p>";"<p>i love simplicity and i dislike complexity</p>";"";"<p>yeah.</p>";"<p>it is an amazing innovation.it keeps you in a stable mind.</p>";5;5;4;"<p>yeah</p>";"<p>none</p>";"<p>none</p>";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
303,406;2;1;4;"";8;"";1;3;2;2;1;1;3;"";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;"";1;3;3;3;;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;4;2;4;1;1;1;3;1;4;1;4;3;1;5;1;5;1;5;1;5;1;5;1;5;3;3;1;5;1;5;1;5;1;5;1;5;1;5;2;5;2;"<p>It is the easiest to read.</p>";1;"<p>It has no information.</p>";"<p>I like that it shows moods, but it shows too many moods.</p>";"";"<p>Yes</p>";"<p>I think it is a great idea</p>";5;5;5;"<p>not rrsally</p>";"";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;2;2;6;"";11;"";5;4;5;4;4;1;1;"";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"";4;4;5;4;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;4;4;3;4;3;4;5;4;4;4;4;3;4;4;5;4;4;4;3;5;3;4;4;3;4;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
923,703;1;3;4;"";10;"Admnistrative";2;4;4;4;2;1;2;"";0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;"";4;3;5;5;;;;;1;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;3;4;2;4;2;4;2;4;3;4;2;4;4;4;4;2;4;5;4;2;4;3;2;4;3;3;3;4;5;2;4;2;4;2;4;2;5;1;5;2;4;3;"<p>This is the most modern design and also is not visually overwhelming to look at. It fits in with the look of the app and allows me to make a quick comparison without having to put too much thought into it and I can get a fast answer.</p>";2;"<p>It does not look aesthetically pleasing, in fact it clashes with the overall look of the app. I have to think too hard when going back and forth between my playlist and the artist to make a comparison and takes too long to get what should be a quick answer.</p>";"<p>I like that there&#39;s a comparison to work off of so that it the recommendation algorithms make more sense and that I can get an explanation for every song as well.&nbsp;</p>";"<p>I&#39;d like for there to be a feature where the user can filter out certain results that the user doesn&#39;t care about for the algorithm to pick up on, like say &quot;Fear&quot;. That way the algorithm will know it doesn&#39;t need to match those categories the user doesn&#39;t care about as much.</p>";"<p>Yes, but honestly I can listen to sad songs while I&#39;m in a good mood just because I like the melody of the song and it won&#39;t necessarily affect my mood one way or the other. At least it was interesting to see how the algorithm came about its decisions.</p>";"<p>I think moods are nice but I&#39;d like to see more filters like tone of voice, cadence, rhythms and things like that. Most people aren&#39;t actively listening to music all the time, rather it&#39;s in the background, so if music by a certain artist sounds good then what you should be looking for is something that sounds similar stylistically regardless of the mood prognostication.</p>";4;5;5;"<p>If I was able to use this kind&nbsp;of system I might have a better view of recommendations especially as I see very random ones that seem to be more geared to what someone might be pushing, especially when it comes to new music.</p>";"<p>There should be a way for users to be able to tweak the filters to turn on or off the ones that they find most important for the algorithm to work off of and then there would be a more personalized experience.</p>";"<p>I really really love the 3rd Interface and hope that that is going to be in development soon as it is the most exciting one as far as I&#39;m concerned. If you could couple that with filters to be used by users I think it would&nbsp; be the most perfect addition to any app possibly ever, no hyperbole.</p>";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
513,82;2;5;6;"";8;"";3;4;3;4;3;1;1;"";0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;"";3;3;4;4;;;;;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;4;4;4;4;3;4;3;4;3;3;4;3;3;4;2;4;3;3;4;3;4;3;2;2;3;3;4;4;3;2;2;2;4;3;2;3;4;2;3;2;2;2;"<p>BECAUSE THE DESIGN AND THE PERFORMANCE AND OVERALL IT IS TOO GOOD SO I RECOMMEND FOR THAT DESIGN.</p>";1;"<p>BECAUSE I DON&#39;T LIKE IT.</p>";"<p>BECAUSE THE DESIGN AND THE PERFORMANCE AND OVERALL IT IS TOO GOOD SO I RECOMMEND FOR THAT DESIGN. I DO LIKE THE LEAST&nbsp;BECAUSE I DON&#39;T LIKE IT.</p>";"";"<p>YES IT IS VERY HELPFUL OF THE MOOD BASED RECOMMENDATION.</p>";"<p>YES,</p>";3;3;3;"<p>NO.</p>";"";"";0;0;0;1;0
;2;2;6;"";8;"";3;4;4;3;2;2;6;"";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;"";;;;;4;3;4;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
523,934;1;3;8;"";10;"Publishing";3;4;4;4;4;2;3;"";0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;"";;;;;5;4;4;4;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;3;2;4;1;4;2;4;2;4;2;4;4;1;2;4;2;5;4;3;3;4;2;4;2;3;3;1;4;2;4;2;4;2;4;2;4;2;3;2;4;3;"<p>I like this recommendation explanation because it gives good details in an attractive way. It is easy to understand.</p>";2;"<p>I don&#39;t like this interface because I think that the design is ugly. I don&#39;t really like how the numbers and percentages look.</p>";"<p>I like that the recommendation explanations are fairly easy to understand. I like that they are trying to give me more information about why a song was picked. I guess I don&#39;t like that the text is small. It could be bigger and easier to see.&nbsp;</p>";"";"<p>Yes, they were helpful. They told me if I wanted to listen to this type of music and feel a certain way about the music.&nbsp;</p>";"<p>I think that using moods is a good idea. It could help me choose the type of music that I want to hear.&nbsp;</p>";4;3;4;"<p>No, my option is still mostly the same. The recommendation explanations matter. They can help me better understand music that I am hearing.&nbsp;</p>";"";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
1284,754;2;2;4;"";3;"";1;5;4;5;5;1;2;"";0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;"";5;5;2;3;;;;;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;3;3;1;1;1;5;1;3;3;5;1;1;2;4;1;4;1;4;1;4;2;1;5;4;3;4;2;5;1;5;1;5;1;5;1;5;1;5;2;5;3;"<p>From a UI/UX perspective that interface 3 looks a lot more seamless with the black transparent overlay to display the information. Although interface 2 shows the information as well that white overlay is really displeasing to the eye and doesn&#39;t really fit the overall layout of the application. I think using colors in interface 3 to give a contrast to the many different categories as to why the music was recommended is a great touch for the user to be more involved with the data. Overall interface 3 graphic comparison is very simple but gets the purpose to the user as to why the artist/music was recommended to the user.</p>";1;"<p>I disliked this one because it doesn&#39;t give any information to the user as to why this music was recommended. Its very ambiguous and gives no reward to the user as to why they should as this to their current playlist.</p>";"<p>Again I like the color contrast used in interface 3 in order for the user to differentiate the different categories that were used to determine the music to be recommended to them. I like the seamless overly in interface 3 fitting the overall theme of the application. I don&#39;t like the&nbsp;white modal in interface three because its distracting to the overall look of the application even though its displaying data to the user</p>";"<p>I would change the why? button to something more appealing like an icon that conveys to the user to get more information about the recommendations.</p>";"<p>I think mood-based recommendation is helpful for people who are into the type of mood the music they listen to puts them in.&nbsp;</p>";"<p>I think there are far better explanations as to why music was recommended to a user rather than using mood. I feel the mood is only appealing to certain amount of users but maybe finding a better category like music genre might be better for how their music is being aggregated.</p>";5;5;4;"<p>A little bit I feel like I would like the option even if sometimes I don&#39;t really need an explanation.</p>";"";"";0;0;0;1;0
;1;2;2;"";6;"";1;5;5;5;5;1;1;"";0;1;1;1;1;0;0;1;1;1;1;0;0;1;0;"";5;5;5;5;;;;;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;5;4;4;4;4;5;5;5;5;5;1;4;5;5;5;1;5;5;5;5;5;5;5;1;5;3;5;5;5;1;5;1;5;1;5;5;5;1;5;2;5;3;"<p>i like the color coding</p>";1;"<p>its basic and plain</p>";"<p>nothing its presented well enough</p>";"";"";"";;;;"";"";"";0;0;1;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
532,403;1;2;6;"";4;"";1;5;4;4;2;1;1;"";0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;"";4;5;3;1;;;;;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;4;2;4;1;3;1;3;1;4;1;4;4;3;5;1;5;1;5;1;4;1;5;1;5;3;5;3;5;1;5;1;4;1;4;1;5;1;4;2;5;2;"<p>Interface 2 is easier to compare and contrast.</p>";1;"<p>I like the easy to see visuals instead of reading.</p>";"<p>I like the visuals that show me why it&#39;s recommended.&nbsp; It&#39;s easier to see quickly.</p>";"<p>None</p>";"<p>Cerebral</p>";"<p>I think it&#39;s a good idea, because I usually listen to music based on my mood.</p>";4;5;5;"<p>Nope, I still like the recommendations because I can&#39;t remember every song I like plus it&#39;s a way to learn about new to me songs.</p>";"<p>none</p>";"<p>none</p>";0;0;0;1;0
877,647;1;1;4;"";10;"Art/Creation";1;5;4;5;5;1;2;"";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;"";4;4;5;4;;;;;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;5;1;2;1;1;4;2;4;5;1;3;2;1;4;3;3;4;4;2;4;1;2;4;3;3;3;1;4;1;4;1;5;2;4;2;5;1;4;2;4;3;"<p>It is the most aesthetically pleasing interface to look at and it gives me enough information on why the song was recommended.</p>";2;"<p>The white background throws everything off and would be annoying to look at.</p>";"<p>I like how informative the recommendations are and I don&#39;t dislike anything except the white background on interface 2.</p>";"";"<p>Yes, the mood-based recommendation explanations were helpful.</p>";"<p>I think it will be an effective way to engage users and connect them to songs they love or want to hear even more.</p>";5;5;5;"<p>No, I still believe they are important.</p>";"";"";0;0;0;1;0
599,617;2;3;6;"";13;"";3;3;5;4;4;1;2;"";1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;"";4;4;3;1;;;;;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;2;5;3;2;3;1;4;1;3;4;4;4;2;2;1;1;3;3;5;5;4;3;5;1;2;3;3;2;4;1;4;5;5;4;3;5;5;4;2;2;2;1;"<p>it is beautiful</p>";1;"<p>i did not</p>";"<p>the songs on the list</p>";"<p>none</p>";"<p>of course yes</p>";"<p>fascinating</p>";3;4;3;"<p>not at all</p>";"<p>none</p>";"<p>this is an interesting survey. thanks</p>";0;0;0;1;0
792,97;1;4;6;"";10;"independent contractor/general clerical worker";2;4;4;4;4;2;4;"";0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;"Christian";;;;;4;4;4;3;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;2;4;2;3;2;4;2;4;2;4;2;3;4;2;4;2;4;2;4;2;4;2;4;2;4;3;4;2;2;4;2;4;3;4;3;3;4;3;2;2;2;2;"<p>This design is straightforward and offers a sensible explanation for the recommendation. Also, it is easy to read and comprehend.&nbsp;</p>";1;"<p>It is too simple and does not have a good explanation. Also, there is no color.&nbsp;</p>";"<p>I like it is easy&nbsp;to read. It is fairly clear. I like the least that the explanation is not bolder than the rest of the text. It does not stand out.&nbsp;</p>";"<p>n/a</p>";"<p>I think it was a little useful because it can help choose to listen to songs that fit your mood.&nbsp;</p>";"<p>I think it would be used by patrons. People would pick their mood and the appropriate songs would play.&nbsp;</p>";4;3;3;"<p>No. My opinion is still the same.&nbsp;</p>";"<p>no</p>";"<p>N/A</p>";0;0;0;1;0
443,043;2;4;4;"";11;"";3;5;4;4;5;1;6;"";1;0;0;1;0;1;0;1;0;0;1;1;0;0;0;"";5;4;4;1;;;;;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;4;5;2;4;3;3;3;1;4;3;1;2;5;4;3;3;3;4;2;2;3;3;2;1;4;3;3;1;1;4;2;4;3;5;5;3;1;2;3;2;4;1;"<p>classsical</p>";3;"<p>too jampacked</p>";"<p>they are good development ans would attract the right indivduals</p>";"";"<p>yes it was help, as you are allowed to follow simple design</p>";"<p>i think its better for people to see the new interface</p>";5;4;4;"<p>kind of, yes it has changed</p>";"";"";0;0;0;1;0
507,31;2;2;6;"";11;"";4;4;3;3;3;1;1;"";0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;"";4;3;4;3;;;;;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;4;3;4;3;3;3;3;4;4;4;2;3;4;4;4;2;4;4;3;3;3;3;3;4;3;3;4;3;3;4;2;4;3;3;4;2;4;2;3;2;3;3;"<p>yes because of the displaying method i am well attracted by that.</p>";1;"<p>Its look like usual.</p>";"<p>Both is appearance of the app.</p>";"";"<p>yes.</p>";"<p>Because based on my mood i will hear the songs as well</p>";5;5;4;"<p>yes it slightly changed now.</p>";"";"";0;0;0;1;0
;2;3;7;"";8;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
;2;2;6;"";8;"";4;5;4;4;4;1;1;"";0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;"";4;4;3;4;;;;;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
1751,15;1;3;6;"";13;"";1;5;4;4;4;1;6;"";0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;"";4;2;5;4;;;;;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;3;3;2;2;2;3;3;3;4;2;2;2;1;4;1;4;1;4;1;3;1;4;2;4;3;4;1;4;1;4;1;5;5;4;1;4;1;5;2;4;3;"<p>It the colored bars more pleasing to looks at.</p>";1;"<p>It doesn&#39;t really tell me why something was recommended.</p>";"<p>I like the breakdown of why something was recommended.&nbsp; I don&#39;t think all of the reasons are needed as most people won&#39;t understand or care about them.</p>";"<p>no</p>";"<p>Not to me because I don&#39;t really think about something like that.&nbsp; If I were wanting to change my mood, then it might be a nice thing to have.</p>";"<p>It is a good idea in certain situations but not something that I am interested in all of the time.</p>";5;4;4;"<p>not at all.</p>";"<p>no</p>";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
297,243;2;5;4;"";11;"";3;4;5;4;3;3;1;"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;3;4;5;3;2;5;2;4;3;5;5;5;2;5;5;3;3;3;2;2;5;2;3;3;3;1;5;5;5;2;5;5;5;2;5;4;2;3;1;"<p>no</p>";2;"<p>smooth</p>";"<p>yes</p>";"<p>yes</p>";"<p>no</p>";"<p>best</p>";5;4;4;"<p>work</p>";"<p>yes</p>";"";0;0;0;1;0
