difftime;s_2;s_3;s_6;s_1;s_8;s_4;s_262;s_263;s_259;s_260;s_261;s_257;s_15;s_5;s_21_1;s_21_2;s_21_3;s_21_4;s_21_5;s_21_6;s_21_7;s_21_8;s_21_9;s_21_10;s_21_11;s_21_12;s_21_13;s_21_14;s_21_15;s_7;s_256;s_235;s_236;s_237;s_227;s_228;s_229;s_230;s_24_1;s_24_2;s_24_3;s_24_4;s_24_5;s_24_6;s_24_7;s_24_8;s_24_9;s_24_10;s_24_11;s_24_12;s_24_13;s_24_14;s_24_15;s_24_16;s_24_17;s_159;s_160;s_161;s_164;s_165;s_166;s_167;s_163;s_179;s_170;s_171;s_172;s_173;s_180;s_181;s_182;s_183;s_184;s_185;s_186;s_187;s_188;s_189;s_190;s_191;s_192;s_193;s_194;s_195;s_196;s_197;s_198;s_199;s_200;s_201;s_202;s_203;s_204;s_205;s_206;s_207;s_175;s_135;s_178;s_136;s_71;s_137;s_177;s_240;s_85;s_86;s_97;s_70;s_72;s_73;stato_1;stato_2;stato_3;stato_4;stato_5
334,073;2;2;6;"";11;"";1;4;5;5;5;1;6;"";1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;"";4;4;5;3;;;;;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;4;4;3;3;2;2;4;3;3;4;3;4;4;2;3;3;4;2;3;3;2;2;4;3;4;3;4;3;3;5;4;4;4;3;3;3;4;4;2;2;2;2;"<p>its easy to comprehend</p>";1;"<p>has too much going on</p>";"<p>the percentages are just dumb to me</p>";"<p>not really</p>";"<p>not really not much information</p>";"<p>its great and the technology is a game changer</p>";4;4;3;"<p>no</p>";"<p>no</p>";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
691,374;2;2;7;"";8;"";4;3;4;3;4;1;1;"";1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;"";3;4;4;3;;;;;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;2;4;4;3;4;3;3;3;4;4;3;2;2;2;3;3;3;4;2;3;3;3;3;3;3;3;3;3;2;4;3;3;3;3;3;3;4;2;3;1;"<p>IT IS VERY NEAT AND ATTRACTIVE</p>";2;"<p>IT WAS VERY CONFUSING</p>";"<p>THE LEAST WAS LOOKING DETAILED</p>";"";"<p>IT IS VERY HELPFUL</p>";"<p>IT WAS VERY INTERESTING</p>";4;4;3;"<p>NO</p>";"";"";0;0;0;1;0
1025,366;1;5;2;"";10;"Housewife";2;4;4;4;4;2;3;"";0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;"";;;;;4;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;4;2;4;2;4;2;3;2;4;2;4;4;2;4;2;4;2;4;2;3;2;4;2;4;3;4;2;4;2;4;2;4;2;3;2;4;2;4;2;4;3;"<p>I think the colored bar info is attractive and helpful. It also compares the artist in the first column with the playlist in general.</p>";1;"<p>It&#39;s plain and boring and provides almost no info.</p>";"<p>I like that interface 2 and 3 have a lot of relatable info that would help me choose a song by what I&#39;m in the mood for. I don&#39;t like interface 1 because it&#39;s just not helpful.</p>";"";"<p>Yes, If I was in a particular mood that would help me pick the right music.</p>";"<p>Generally helpful for those who need reccomendations.</p>";4;4;4;"<p>No not really.</p>";"";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
431,58;1;4;6;"";11;"";4;4;4;5;4;1;3;"";1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;"";4;4;4;4;;;;;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;5;3;2;4;3;3;1;4;4;3;1;4;4;3;4;4;4;2;4;4;5;4;4;4;4;3;5;4;5;3;3;2;5;1;4;5;3;4;4;2;4;3;"<p>more detailed and beautiful</p>";1;"<p>somehow confusing</p>";"<p>it is detailed and self explanatory&nbsp;</p>";"";"<p>Yes</p>";"<p><strong>using moods for recommendation explanations is better&nbsp;</strong></p>";5;5;4;"<p>No</p>";"";"";0;0;0;1;0
2078,21;2;2;7;"";4;"";3;4;4;5;4;1;6;"";0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;"";1;1;3;3;;;;;1;1;1;1;0;0;1;1;0;1;0;0;1;0;0;0;0;1;4;1;5;1;5;2;4;3;1;2;1;2;4;1;1;1;3;2;5;5;1;2;4;4;3;2;4;5;2;5;3;5;5;5;1;4;1;4;2;4;2;"<p>It is detailed and concise showing the playlist based moods.</p>";1;"<p>It is not detailed and not explanatory enough.</p>";"<p>I like the percentage play list moods. The least one that I like is the recommended songs based on playlists.</p>";"";"<p>Yes</p>";"<p>It&#39;s very helpful and well detailed.</p>";3;5;4;"<p>Yes</p>";"";"";0;0;0;1;0
540,26;2;2;6;"";1;"";2;3;3;3;4;1;2;"";0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;"";3;3;3;3;;;;;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;4;4;5;4;4;4;3;4;4;4;4;4;5;3;4;5;4;3;3;4;4;4;5;4;4;3;5;5;5;4;5;4;4;5;5;5;4;4;4;2;5;2;"<p>well surface</p>";3;"<p>color</p>";"<p>good</p>";"<p>good</p>";"<p>well</p>";"<p><strong>design music recommendation explanations</strong></p>";5;5;5;"<p>good</p>";"<p>well</p>";"<p>well</p>";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
546,387;2;2;6;"";11;"";1;5;5;5;2;1;1;"";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;"";2;4;4;2;;;;;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;2;4;1;3;1;4;1;4;1;2;1;1;1;5;1;5;1;5;1;3;1;4;1;4;3;5;1;4;2;4;1;4;2;2;2;4;1;4;2;4;2;"<p>It&#39;s simple and easy to understand</p>";1;"<p>It&#39;s confusing</p>";"<p>I like that they are introducing a new way to recommend music</p><p>I think 2 of the interfaces are a little confusing</p>";"";"<p>I think they were helpful because it&#39;s easy to understand</p>";"<p>I want to try it</p>";5;5;5;"<p>no</p>";"";"";0;0;0;1;0
1136,004;1;3;6;"";6;"";2;4;3;4;4;1;1;"";0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;"";2;2;4;4;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;2;4;4;3;3;3;3;2;2;4;2;4;1;4;2;4;2;2;2;3;2;4;2;4;3;4;1;4;2;4;2;2;2;3;2;4;2;4;2;4;2;"<p>I like that it&#39;s in percentages.</p>";1;"<p>It looks messy, too many names.</p>";"<p>I like the different moods! I dislike how messy it can be with so much much information on a small screen.</p>";"<p>I can&#39;t think of how I&#39;d made it better.</p>";"<p>Yes, I like them a lot.</p>";"<p>I find it a useful and a fun idea, and would use them!</p>";5;4;3;"<p>Not really, but I am a&nbsp;little curious about the moods.</p>";"";"";0;0;0;1;0
367,003;2;2;6;"";11;"";3;4;4;4;4;1;1;"";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;"";3;3;3;4;;;;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;4;3;2;2;3;3;4;3;3;3;4;2;2;2;3;3;2;2;2;3;2;3;3;3;3;2;3;4;3;3;3;2;2;3;3;2;4;1;"<p>I think it has the best look at flow to it</p>";2;"<p>does not work the best and looks different</p>";"<p>i like one because it easy to read and three the least cause its hard to know whats going on</p>";"<p>no</p>";"<p>i dont think they were that helpful</p>";"<p>i think it helps tell wyou what typpe of song it is</p>";3;4;4;"<p>nope</p>";"<p>no</p>";"<p>no</p>";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
192,224;2;4;6;"";4;"";2;1;3;4;5;2;3;"";0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;"";;;;;4;3;2;2;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;3;3;5;1;4;2;2;1;4;2;5;2;3;1;3;4;1;5;1;2;4;1;2;3;3;3;2;4;2;1;5;5;2;5;5;1;2;5;3;4;2;3;"<p>i like the interface</p>";1;"<p>i dont like the interface</p>";"<p>the interface</p>";"<p>no</p>";"<p>i feel good</p>";"<p>its very good&nbsp;</p>";1;4;2;"<p>no</p>";"<p>no, its all good</p>";"<p>n/a</p>";0;0;0;1;0
485,874;2;4;6;"";8;"";4;3;4;4;4;1;6;"";1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;"";4;4;4;4;;;;;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;3;3;4;3;5;2;4;5;5;1;1;2;5;5;2;2;5;5;3;2;2;1;2;2;5;3;5;2;2;2;5;2;5;4;5;4;4;2;2;2;2;3;"<p>It looks more explanatory and sophisticated, the template is cool</p>";1;"<p>Looks more complex and doesn&#39;t look as good as others</p>";"<p>They are the next level, it makes music more fun to listen to and also to navigate</p>";"<p>N/A</p>";"<p>yes they were</p>";"<p>It is lovely, i think others will love it too</p>";5;5;5;"<p>No</p>";"<p>N/A</p>";"";0;0;0;1;0
;2;3;6;"";4;"";3;4;4;4;4;1;2;"";1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
;2;2;7;"";1;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
;2;4;6;"";10;"Aviation";5;5;5;5;5;1;3;"";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;"";4;4;4;4;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
997,393;1;1;6;"";4;"";2;5;5;5;5;1;2;"";0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;"";5;5;3;3;;;;;0;1;1;1;0;0;1;0;1;1;0;1;0;0;0;0;0;4;5;1;3;1;4;2;4;2;4;1;5;5;4;5;1;5;1;5;1;4;1;5;1;5;3;5;5;5;1;5;2;5;1;5;1;5;1;5;2;5;2;"<p>I like this design the most because the percentages are clear to see and it matches the spotify color scheme&nbsp;</p>";1;"<p>I don&#39;t neccessarily dislike it , it just isn&#39;t as nice as the other two .</p>";"<p>I like the categories of music that they have , and the percentages&nbsp;</p>";"<p>I would made the interface 2 ( the one i like the most ) , a dark version of what is shown. Like black background and green percentages .</p>";"<p>yes , it was what i liked the most out of the new design&nbsp;</p>";"<p>&nbsp;I would most def use moods for recommendation , because it seems super cool&nbsp;</p>";4;4;5;"<p>no</p>";"<p>not that i can think of&nbsp;</p>";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;2;3;6;"";4;"";5;3;3;4;4;1;6;"";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"";2;4;3;3;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;3;4;4;4;4;5;5;4;4;4;3;3;3;4;4;3;2;3;2;3;3;4;3;2;5;5;2;4;4;2;3;2;3;4;5;4;3;3;5;2;"";3;"<p>SCREEN</p>";"<p>SCREEN</p>";"<p><strong>NO</strong></p>";"<p>GOOD</p>";"<p>GOOD</p>";;;;"";"";"";0;0;1;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
343,393;1;2;7;"";9;"";3;4;3;4;3;1;6;"";0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;"";3;4;5;4;;;;;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;4;5;4;2;4;4;5;5;3;3;4;3;4;3;3;4;4;4;5;2;3;3;4;2;2;3;4;3;4;3;4;4;4;4;4;5;2;2;5;2;4;2;"<p>this looks great to me</p>";3;"<p>this is not so great</p>";"<p>features and user friendly .&nbsp;</p>";"";"<p>Yes</p>";"<p>none</p>";4;5;5;"<p>no</p>";"<p>no</p>";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
374,594;2;4;6;"";8;"";2;4;4;5;4;1;6;"";0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;"";5;4;5;4;;;;;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;4;5;4;2;4;2;4;4;4;2;4;4;1;4;5;5;4;4;4;5;2;4;4;2;4;4;1;5;2;4;2;4;4;4;4;4;4;5;2;4;3;"<p>Interface 3 looks best in terms of aesthetics and presentation</p>";2;"<p>The contrast between colors is too jarring</p>";"<p>I like the detailed presentation as to why something was recommended.&nbsp; I think color choices could be better though</p>";"";"<p>Yes, they were helpful in terms of learning why songs were recommended</p>";"<p>I think it could be helpful in terms of determining what to listen to</p>";5;5;5;"<p>No</p>";"";"";0;0;0;1;0
;2;2;6;"";8;"";2;4;4;4;3;1;3;"";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;"";4;2;4;4;;;;;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;2;4;2;4;2;4;2;4;2;4;2;3;4;2;3;4;2;3;3;3;2;3;2;4;2;3;2;2;4;2;4;2;4;2;4;2;4;2;4;2;4;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
235,4;1;4;2;"";6;"";3;4;4;3;4;2;1;"";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;3;3;4;4;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;3;4;3;4;4;5;3;4;4;3;4;3;4;4;4;4;4;3;4;5;3;5;3;4;4;3;3;4;4;4;4;3;4;5;4;3;3;3;3;2;3;2;"<p>na</p>";2;"<p>na</p>";"<p>na</p>";"<p>na</p>";"<p>na</p>";"<p>na</p>";4;3;4;"<p>na</p>";"<p>na</p>";"<p>na</p>";0;0;0;1;0
479,627;2;2;7;"";13;"";2;4;3;4;4;2;2;"";0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;"";;;;;4;4;4;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;4;2;4;2;4;2;4;2;4;2;4;4;4;4;2;4;2;4;2;4;2;4;2;4;3;4;4;4;2;4;2;4;2;4;2;4;2;4;2;4;3;"<p>It was straight to the point of what I was looking for regarding mood/emotions to the songs I would search for.&nbsp;</p>";1;"<p>I don&#39;t recall seeing the list of moods/emotions for the songs in this interface.&nbsp;</p>";"<p>I think the explanations were simple, clear and straight to the point. I quickly understood what was going on. I think what I liked lease was the lack of colors, visuals, and interactive media.&nbsp;</p>";"";"<p>Yes, they were. I appreciated this.&nbsp;</p>";"<p>I think it&#39;s great and I would like to see this in future apps.&nbsp;</p>";4;4;4;"<p>No, it has not.&nbsp;</p>";"";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
1026,17;2;2;6;"";8;"";1;5;2;4;2;1;6;"";0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;"";4;4;4;3;;;;;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;5;2;4;2;4;2;5;1;4;1;4;5;2;5;1;4;1;4;1;4;1;5;1;4;3;5;1;4;1;4;1;5;1;5;1;5;1;4;2;5;2;"<p>It is pleasing to look at and also easy to understand</p>";1;"<p>It is difficult to understand unlike the other two.</p>";"<p>I like that it explains the with percentages to give a better context.</p>";"";"<p>Yes they were helpful.</p>";"<p>Using moods for recommendations meets the needs of the user</p>";5;5;5;"<p>Music recommendations are a good way to discover sounds similar to what you like. Music recommendations are important to me.</p>";"";"";0;0;0;1;0
528,786;1;2;6;"";4;"";2;4;4;4;2;1;3;"";0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;"";4;4;4;2;;;;;0;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;1;2;2;2;2;2;4;3;2;4;2;3;2;1;4;4;4;4;4;2;4;2;4;2;3;3;3;1;4;2;4;4;4;2;4;2;5;2;4;2;4;3;"<p>You can see why it was chosen just by looking at the bars, no reading or comparing numbers.</p>";1;"<p>Boring and not much information</p>";"<p>I like that it explains why those songs were chosen. I don&#39;t want to take extra time to read explanations or compare numbers.&nbsp;</p>";"<p>Maybe too many categories in 2 and 3.</p>";"<p>I wasn&#39;t sure about what some of them meant. And music makes people feel different things.&nbsp;</p>";"<p>I think it could be a positive idea.</p>";5;4;3;"<p>no</p>";"<p>no</p>";"";0;0;0;1;0
892,323;1;2;6;"";13;"";2;4;4;4;4;1;6;"";0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;"";4;3;4;4;;;;;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;3;4;2;4;3;4;2;3;2;4;2;4;4;3;4;2;4;3;4;2;4;2;3;2;4;3;4;3;4;2;4;2;4;2;4;2;4;2;4;2;4;3;"<p>Because I like the colors they used and the bars give a better visual idea of the percentages.</p>";1;"<p>it is too simple.</p>";"<p>I like that they explain me exactly why they are recommending every song but I dont like that it takes the whole screen</p>";"";"<p>Yes they were very helpful</p>";"<p>I like it because if you are happy you would like to listen to happy music.</p>";4;4;4;"<p>No, I still think they are important</p>";"";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
663,936;2;3;7;"";1;"";4;4;5;4;5;1;6;"";1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;"";5;4;4;5;;;;;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;5;4;4;5;4;4;4;5;4;5;5;4;4;5;4;5;4;4;4;4;4;4;4;5;5;3;4;4;4;5;4;3;5;5;4;5;3;4;4;2;5;1;"<p>it is easy to play the song.</p>";2;"<p>i don&#39;t use this.</p>";"<p>i like the least interface 3.i will try to use.</p>";"<p>no</p>";"<p>yes,the explanations are good.</p>";"<p>it is a good method and easy to use.</p>";4;5;5;"<p>no</p>";"<p>that is enough.it has also good explanations.</p>";"<p>very interesting</p>";0;0;0;1;0
730,113;2;3;6;"";11;"";1;5;4;5;5;1;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"";4;5;4;4;;;;;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;3;2;2;1;1;5;2;2;2;4;1;2;2;4;1;4;2;4;1;4;1;4;2;4;3;4;2;5;1;5;1;5;1;4;1;5;1;5;2;5;3;"<p>I prefer the quick graphical interface. It is nice to look at, easy to understand, and has the info I would be looking for. I also like option 2, but not as much as option 3.</p>";1;"<p>Doesn&#39;t have the info I would be looking for, or is harder to find.</p>";"<p>Dislike is the one that would change the page. Like is ones that just show a pop up type of interface.</p>";"";"<p>yes, because sometimes you are in a mood for certain music.</p>";"<p>I think it&#39;s fair. I htink mood has a lot to do with the music you want to listen to. Who wants to listen to a sad song when they are in high energy moods right.</p>";5;4;4;"<p>has not changed.</p>";"";"";0;0;0;1;0
635,75;2;3;7;"";8;"";5;4;4;4;4;1;6;"";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;"";4;3;4;4;;;;;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;3;3;3;3;4;3;2;4;3;3;3;3;2;3;4;3;3;4;4;3;3;3;3;3;4;3;3;3;2;2;4;3;3;3;3;3;4;2;3;2;"<p>it will be more attractive</p>";1;"<p>it is not attractive.</p>";"<p>i love the interface.</p>";"";"<p>it is very helpful</p>";"<p>it is very interesting</p>";3;4;4;"<p>no it remains same</p>";"";"";0;0;0;1;0
;1;2;6;"";10;"transportation and logistics";2;5;4;4;3;2;6;"";1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;"";;;;;2;3;4;5;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;4;4;2;4;2;4;2;4;4;3;2;4;4;4;4;2;4;2;4;2;4;4;4;2;4;3;4;4;4;2;4;2;4;2;4;3;5;2;4;1;5;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
