questionName;variableName;questionType;subType;questionText;choiceValue;choiceText
diffTime;difftime;Open;Double;"Response duration (seconds)";;
s_2;s_2;Closed;Single;"1. What gender do you currently associate with?";;
s_3;s_3;Closed;Single;"2. Which age group do you belong to?";;
s_6;s_6;Closed;Single;"3. Education: Which category best describes you?";;
s_1;s_1;Open;String;"3. Education: Which category best describes you? - Other";;
s_8;s_8;Closed;Single;"4. Work: Which category best describes you?";;
s_4;s_4;Open;String;"4. Work: Which category best describes you? - Other";;
s_262;s_262;Closed;Single;"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The thought of using unfamiliar digital technology is uncomfortable.";;
s_263;s_263;Closed;Single;"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am confident about my ability to use digital technologies.";;
s_259;s_259;Closed;Single;"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with recommender systems.";;
s_260;s_260;Closed;Single;"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with Spotify.";;
s_261;s_261;Closed;Single;"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with Spotify's recommendation features.";;
s_257;s_257;Closed;Single;"2. Do you currently use a music streaming service such as Apple Music, Deezer, Spotify, Tidal etc.?";;
s_15;s_15;Closed;Single;"3. How often do you use your smartphone to listen to music?";;
s_5;s_5;Open;String;"3. How often do you use your smartphone to listen to music? - Other";;
s_21;s_21_1;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";1;"Blues";
s_21;s_21_2;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";8;"Classical / Opera";
s_21;s_21_3;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";20;"Country";
s_21;s_21_4;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";11;"Dance / Electronic / House";
s_21;s_21_5;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";7;"Easy Listening";
s_21;s_21_6;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";10;"Folk";
s_21;s_21_7;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";28;"Heavy Metal";
s_21;s_21_8;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";13;"Hip Hop / Rap";
s_21;s_21_9;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";15;"Jazz";
s_21;s_21_10;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";22;"Latin";
s_21;s_21_11;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";4;"Pop";
s_21;s_21_12;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";18;"Reggae";
s_21;s_21_13;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";12;"R&B / Soul";
s_21;s_21_14;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";5;"Rock";
s_21;s_21_15;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";24;"Other";
s_7;s_7;Open;String;"4. What are your favorite music genres? You may choose up to 3. - Other";;
s_256;s_256;Closed;Single;"You previously stated that you currently use a music streaming service. Please answer these questions based on your experience with your current music streaming service.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I often listen to the music recommendations that are suggested to me.";;
s_235;s_235;Closed;Single;"You previously stated that you currently use a music streaming service. Please answer these questions based on your experience with your current music streaming service.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I understand the music recommendations that are suggested to me.";;
s_236;s_236;Closed;Single;"You previously stated that you currently use a music streaming service. Please answer these questions based on your experience with your current music streaming service.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would like more control over my music recommendations.";;
s_237;s_237;Closed;Single;"You previously stated that you currently use a music streaming service. Please answer these questions based on your experience with your current music streaming service.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would like better explanations for why certain music is recommended to me.";;
s_227;s_227;Closed;Single;"You previously stated that you used to use a music streaming service. Please answer these questions based on your previous experience with music streaming service to the best of your recollection.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I often used to listen to the music recommendations that were suggested to me.";;
s_228;s_228;Closed;Single;"You previously stated that you used to use a music streaming service. Please answer these questions based on your previous experience with music streaming service to the best of your recollection.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I understood the music recommendations that were suggested to me.";;
s_229;s_229;Closed;Single;"You previously stated that you used to use a music streaming service. Please answer these questions based on your previous experience with music streaming service to the best of your recollection.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would have liked more control over my music recommendations.";;
s_230;s_230;Closed;Single;"You previously stated that you used to use a music streaming service. Please answer these questions based on your previous experience with music streaming service to the best of your recollection.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would have liked better explanations for why certain music was recommended to me.";;
s_241;s_24_1;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";1;"Acousticness (how acoustic or electronic the music is, acoustic/analog vs electric/digital instruments)";
s_241;s_24_2;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";2;"Danceability (how suitable the music is for dancing)";
s_241;s_24_3;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";3;"Energy (how energetic / fast / loud  a song is)";
s_241;s_24_4;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";4;"Emoji / Emoticons (describes music based on emotional icons)";
s_241;s_24_5;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";5;"Genre information (rock, pop, blues...)";
s_241;s_24_6;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";6;"Loudness (musical dynamic, the overall loudness of music in decibels (dB))";
s_241;s_24_7;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";16;"Moods (what state of mind the music will put you in, how it makes you feel)";
s_241;s_24_8;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";7;"Popularity Score (how popular the music is)";
s_241;s_24_9;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";8;"Rhythm (musical feel)";
s_241;s_24_10;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";9;"Similarity Score (percentage of how alike different music is to each other)";
s_241;s_24_11;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";10;"Tags (musical keywords, terms, or annotations)";
s_241;s_24_12;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";11;"Tempo (beats per minute, if the music is fast or slow)";
s_241;s_24_13;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";12;"Timbre (tone color or tone quality)";
s_241;s_24_14;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";13;"Valence / Arousal (how positive or negative the music is)";
s_241;s_24_15;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";17;"I don't need any more explanations";
s_241;s_24_16;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";14;"I don't know";
s_241;s_24_17;Closed;Multiple;"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like.";15;"Other";
s_159;s_159;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with these artists / songs";;
s_160;s_160;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The design layout of the explanation is clear and easy to understand";;
s_161;s_161;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is unnecessarily complex";;
s_164;s_164;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation contains the right amount of information";;
s_165;s_165;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is too detailed";;
s_166;s_166;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I understand why 'Play It Loud!' by 'Marco Carola' is recommended";;
s_167;s_167;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation does not provide useful information";;
s_163;s_163;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation increased my trust in the system";;
s_179;s_179;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - It took me a long time to understand the explanation";;
s_170;s_170;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is attractive and pleasing to look at";;
s_171;s_171;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I do not like the design of the explanation";;
s_172;s_172;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would like to use a system which uses this type of explanation";;
s_173;s_173;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - Overall, I am satisfied with the recommendation explanation";;
s_180;s_180;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with these artists / songs";;
s_181;s_181;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The design layout of the explanation is clear and easy to understand";;
s_182;s_182;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is unnecessarily complex";;
s_183;s_183;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation contains the right amount of information";;
s_184;s_184;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is too detailed";;
s_185;s_185;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I understand why 'Play It Loud!' by 'Marco Carola' is recommended";;
s_186;s_186;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation does not provide useful information";;
s_187;s_187;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation increased my trust in the system";;
s_188;s_188;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - It took me a long time to understand the explanation";;
s_189;s_189;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is attractive and pleasing to look at";;
s_190;s_190;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I do not like the design of the explanation";;
s_191;s_191;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would like to use a system which uses this type of explanation";;
s_192;s_192;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I will choose the neutral answer number three for this question";;
s_193;s_193;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - Overall, I am satisfied with the recommendation explanation";;
s_194;s_194;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with these artists / songs";;
s_195;s_195;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The design layout of the explanation is clear and easy to understand";;
s_196;s_196;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is unnecessarily complex";;
s_197;s_197;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation contains the right amount of information";;
s_198;s_198;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is too detailed";;
s_199;s_199;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I understand why 'Play It Loud!' by 'Marco Carola' is recommended";;
s_200;s_200;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation does not provide useful information";;
s_201;s_201;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation increased my trust in the system";;
s_202;s_202;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - It took me a long time to understand the explanation";;
s_203;s_203;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is attractive and pleasing to look at";;
s_204;s_204;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I do not like the design of the explanation";;
s_205;s_205;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would like to use a system which uses this type of explanation";;
s_206;s_206;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The answer to this question is disagree which is number two";;
s_207;s_207;Closed;Single;" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - Overall, I am satisfied with the recommendation explanation";;
s_175;s_175;Closed;Single;"1. Which recommendation explanation design do you like the most?";;
s_135;s_135;Open;String;"2. Why do you like this recommendation explanation design the most?";;
s_178;s_178;Closed;Single;"3. Which recommendation explanation design do you dislike the most?";;
s_136;s_136;Open;String;"4. Why do you dislike this recommendation explanation design the most?";;
s_71;s_71;Open;String;"5. In general, what do you like most about the recommendation explanations shown above and what do you like the least?";;
s_137;s_137;Open;String;"6. Are there any design changes you would make to any of the interfaces shown above? (optional)";;
s_177;s_177;Open;String;"7. Were the mood-based recommendation explanations helpful?";;
s_240;s_240;Open;String;"8. In general, now that you have seen this survey, what do you think about using moods for recommendation explanations?";;
s_85;s_85;Closed;Single;"1. Please state whether you agree or disagree with the following statements on a scale of 1-5, where 1 means strongly disagree and 5 means strongly agree. - Overall, I understood how to answer the questions in this survey.";;
s_86;s_86;Closed;Single;"1. Please state whether you agree or disagree with the following statements on a scale of 1-5, where 1 means strongly disagree and 5 means strongly agree. - Overall, I enjoyed taking this survey.";;
s_97;s_97;Closed;Single;"1. Please state whether you agree or disagree with the following statements on a scale of 1-5, where 1 means strongly disagree and 5 means strongly agree. - I would switch to or begin using a music streaming service on my phone if it had great recommendation explanations.";;
s_70;s_70;Open;String;"2. You were asked in the pre-survey whether or not music recommendation explanations are important to you. Has your opinion changed after participating in this study?";;
s_72;s_72;Open;String;"3. Do you have any other suggestions on how to improve recommendation explanations for music applications on mobile phones? (optional)";;
s_73;s_73;Open;String;"4. Please feel free to add any addition comments here. (optional)";;
statoverall;stato_1;Closed;Multiple;"Overall Status";1;"New";
statoverall;stato_2;Closed;Multiple;"Overall Status";2;"Distributed";
statoverall;stato_3;Closed;Multiple;"Overall Status";3;"Partially Complete";
statoverall;stato_4;Closed;Multiple;"Overall Status";4;"Complete";
statoverall;stato_5;Closed;Multiple;"Overall Status";5;"Rejected";
