Group;s_159;s_160;s_161;s_164;s_165;s_166;s_167;s_163;s_179;s_170;s_171;s_172;s_173
Text;5;4;3;4;5;3;2;4;2;1;3;2;2
Text;4;5;2;4;1;4;1;4;2;5;1;4;5
Text;4;5;1;5;1;5;1;5;1;5;1;5;5
Text;4;5;2;4;5;5;1;4;1;4;2;4;4
Text;5;4;1;4;1;4;1;2;1;4;2;4;4
Text;3;3;4;2;4;2;4;2;4;2;4;2;2
Text;4;3;5;3;3;4;1;4;1;4;4;4;4
Text;5;5;1;5;1;5;1;4;1;5;1;5;5
Text;4;4;4;2;4;4;2;3;1;3;2;3;4
Text;1;1;1;1;1;1;1;1;1;1;1;1;1
Text;5;4;2;4;1;4;2;4;1;4;2;4;4
Text;4;4;2;5;1;4;2;4;2;4;2;4;4
Text;5;5;2;4;2;5;1;5;2;2;3;4;5
Text;5;4;1;4;1;4;1;4;1;4;2;4;4
Text;4;4;2;4;2;4;2;4;2;4;2;4;4
Text;1;4;1;4;2;4;2;4;1;4;1;4;4
Text;5;5;4;4;5;4;2;5;5;3;5;4;4
Text;5;4;1;4;1;5;1;4;1;4;1;4;4
Text;2;4;2;4;2;4;2;5;1;4;2;4;4
Text;3;5;2;4;3;3;2;4;1;4;1;4;5
Text;4;5;2;5;2;5;2;5;2;5;2;5;5
Text;4;4;2;4;2;4;2;4;2;4;2;4;4
Text;5;4;1;3;1;5;2;4;1;4;1;4;4
Text;5;5;1;5;1;5;1;5;1;5;1;5;5
Text;5;3;4;2;4;4;4;3;2;2;4;3;3
Text;5;5;1;4;2;4;2;4;1;3;2;4;4
Text;5;2;5;1;5;5;2;2;4;2;4;1;2
Text;4;3;3;3;3;3;4;4;4;3;3;3;3
Text;5;5;1;5;1;5;1;5;1;5;1;5;5
Text;5;4;2;4;5;5;2;3;4;4;1;4;4
Text;5;5;1;5;1;5;1;5;1;5;1;5;5
Text;4;4;2;4;2;4;2;4;4;4;2;4;4
Text;4;4;3;4;3;4;2;4;1;4;2;4;4
Text;5;4;1;5;5;4;1;4;5;5;1;4;5
Text;1;4;1;4;5;3;5;4;2;5;1;4;4
Text;4;5;1;5;1;5;1;4;1;5;1;5;5
Text;4;4;4;3;4;5;2;4;1;3;2;3;4
Text;4;2;4;4;4;4;4;3;4;2;4;3;3
Text;4;5;2;4;2;4;2;4;2;4;2;4;4
Text;5;5;1;5;3;5;1;5;1;5;1;5;5
Text;5;5;1;5;5;5;1;5;1;5;1;5;5
Text;4;4;4;5;5;5;4;4;4;5;5;4;4
Text;4;4;4;2;4;4;3;4;2;2;4;2;3
Text;4;4;1;4;1;5;2;5;1;4;4;4;4
Text;4;4;2;4;2;4;2;4;2;4;2;4;4
Text;1;2;3;1;4;1;5;5;1;4;4;2;3
Text;4;4;4;4;3;4;4;4;1;4;1;3;4
Text;4;4;1;4;4;4;4;4;4;4;4;4;4
Text;5;5;3;1;3;5;1;2;2;5;1;5;4
Text;2;2;3;5;5;5;1;4;1;1;4;4;4
Text;1;2;1;5;3;3;2;5;1;5;1;4;1
Text;5;5;2;5;1;5;1;5;1;5;1;5;5
Text;4;4;2;4;4;4;2;4;2;3;2;3;4
Text;2;3;2;2;3;4;2;3;2;3;1;4;3
Text;4;2;4;3;4;2;3;2;3;2;4;2;3
Text;3;4;4;4;4;4;2;4;3;4;3;4;4
Text;4;4;2;4;2;4;2;4;2;3;2;4;4
Text;5;4;1;5;2;5;2;5;1;4;2;5;5
Text;4;5;1;5;4;5;1;5;1;5;1;5;5
Text;4;2;5;2;5;2;3;2;5;2;5;2;3
Text;4;5;2;5;5;5;4;4;3;4;1;4;4
Text;5;2;5;2;5;1;2;2;4;2;4;3;1
Text;5;4;2;5;2;5;1;4;2;4;4;4;4
Text;4;3;1;1;1;3;4;2;3;2;3;1;2
Text;5;5;4;3;2;3;3;4;2;5;1;4;4
Viz;2;4;1;5;5;2;2;4;2;2;3;3;1
Viz;4;4;2;3;2;4;2;4;4;3;3;2;3
Viz;4;2;4;2;2;3;3;3;5;3;5;2;2
Viz;4;5;2;3;4;4;2;4;4;5;2;4;4
Viz;5;5;1;4;1;5;2;3;1;4;1;4;4
Viz;2;2;4;2;4;2;4;2;4;2;4;2;2
Viz;5;5;1;5;1;5;4;4;1;5;1;5;5
Viz;5;5;1;5;1;5;1;5;1;4;1;5;5
Viz;4;4;4;2;4;4;2;3;1;4;2;3;3
Viz;1;1;1;1;1;1;1;1;1;1;1;1;1
Viz;5;2;2;2;1;2;4;3;3;4;4;3;2
Viz;4;3;2;4;2;4;2;3;2;2;4;2;2
Viz;4;3;2;3;3;2;4;3;4;5;2;3;3
Viz;5;5;1;5;1;5;1;5;1;5;1;5;5
Viz;4;5;2;4;1;5;2;4;2;5;2;4;4
Viz;1;3;1;4;1;4;1;4;1;4;1;4;4
Viz;4;4;5;4;4;5;3;4;4;4;5;3;5
Viz;5;2;5;2;2;2;2;2;5;4;5;2;2
Viz;2;4;2;3;2;4;2;4;2;4;3;3;3
Viz;4;4;3;5;4;2;2;4;5;4;1;5;4
Viz;4;5;2;5;2;5;2;5;2;5;2;4;5
Viz;4;5;2;4;2;4;2;4;2;5;2;4;5
Viz;5;5;1;4;1;5;1;4;1;5;1;5;5
Viz;5;5;1;5;1;5;1;5;1;5;1;5;5
Viz;5;4;2;3;2;5;2;3;2;4;3;4;4
Viz;5;5;1;4;1;4;2;4;1;5;1;5;4
Viz;5;2;5;2;4;5;2;3;4;4;3;3;3
Viz;3;4;3;3;3;4;3;4;3;4;3;3;4
Viz;5;5;1;5;1;5;1;5;1;5;1;5;5
Viz;4;5;1;3;4;3;1;4;4;4;2;4;5
Viz;5;3;1;3;1;5;2;5;2;3;3;4;4
Viz;4;4;4;4;3;4;2;4;2;5;2;5;4
Viz;4;4;3;4;3;4;1;4;2;2;5;2;3
Viz;2;4;2;2;3;1;1;4;4;2;5;3;2
Viz;4;5;1;4;4;3;1;4;2;4;1;5;4
Viz;4;4;4;4;2;4;1;4;2;4;4;4;3
Viz;4;3;4;3;4;4;3;4;3;4;3;3;3
Viz;4;4;3;4;4;4;3;4;3;4;2;4;4
Viz;4;4;1;4;2;4;1;5;5;5;1;4;5
Viz;3;2;4;2;4;3;4;2;4;3;5;1;2
Viz;5;5;1;5;5;5;1;5;1;5;1;5;5
Viz;5;4;4;3;4;5;5;3;4;4;4;3;4
Viz;4;5;2;4;2;4;2;4;2;4;2;5;5
Viz;4;4;3;4;2;4;2;4;2;5;1;4;4
Viz;4;4;2;4;2;4;2;3;2;4;2;4;4
Viz;2;3;1;3;4;4;1;5;1;4;3;5;3
Viz;4;4;1;4;4;4;4;4;4;4;4;4;4
Viz;4;4;1;4;2;4;2;4;1;3;2;4;4
Viz;1;2;1;1;2;1;3;3;2;4;4;4;5
Viz;2;1;3;2;1;2;5;3;5;1;5;2;1
Viz;3;5;1;5;3;2;1;4;2;4;5;4;5
Viz;5;1;4;2;2;2;5;1;4;1;5;1;2
Viz;4;4;2;4;2;4;2;4;2;4;4;4;4
Viz;3;4;1;4;4;4;2;4;2;4;1;5;4
Viz;4;1;4;2;5;3;4;2;4;2;4;2;2
Viz;3;4;2;4;4;4;2;4;4;4;2;4;4
Viz;4;5;2;4;2;4;2;4;2;5;2;5;4
Viz;4;3;3;3;2;4;2;3;2;4;3;3;4
Viz;4;5;1;5;5;5;1;5;1;5;1;5;5
Viz;4;2;5;2;5;3;4;2;4;2;4;2;3
Viz;4;5;1;2;4;5;1;3;4;4;5;4;4
Viz;5;1;5;1;5;4;4;2;5;1;5;1;2
Viz;5;5;1;5;1;5;1;5;2;5;1;5;5
Viz;4;4;1;1;1;4;4;2;2;4;3;1;2
Viz;5;5;2;3;2;5;2;5;2;5;2;5;4